row,week_start,week_end,news_lag2w,cong_lag2w,news_t,cong_t
132,2017-07-24,2017-07-30,0,0,0,1
133,2017-07-31,2017-08-06,0,0,0,0
134,2017-08-07,2017-08-13,0,1,0,0
135,2017-08-14,2017-08-20,0,0,0,0
136,2017-08-21,2017-08-27,0,0,0,0
137,2017-08-28,2017-09-03,0,0,0,0
138,2017-09-04,2017-09-10,0,0,0,1
139,2017-09-11,2017-09-17,0,0,0,0
140,2017-09-18,2017-09-24,0,1,0,0
141,2017-09-25,2017-10-01,0,0,0,0
142,2017-10-02,2017-10-08,0,0,0,1
143,2017-10-09,2017-10-15,0,0,1,0
144,2017-10-16,2017-10-22,0,1,0,0
145,2017-10-23,2017-10-29,1,0,0,0
146,2017-10-30,2017-11-05,0,0,0,0
147,2017-11-06,2017-11-12,0,0,0,0
148,2017-11-13,2017-11-19,0,0,0,1
149,2017-11-20,2017-11-26,0,0,0,0
150,2017-11-27,2017-12-03,0,1,0,0
151,2017-12-04,2017-12-10,0,0,0,0
152,2017-12-11,2017-12-17,0,0,0,0
153,2017-12-18,2017-12-24,0,0,0,0
154,2017-12-25,2017-12-31,0,0,0,0
155,2018-01-01,2018-01-07,0,0,0,0
156,2018-01-08,2018-01-14,0,0,0,0
157,2018-01-15,2018-01-21,0,0,0,0
158,2018-01-22,2018-01-28,0,0,0,0
159,2018-01-29,2018-02-04,0,0,0,0
160,2018-02-05,2018-02-11,0,0,0,0
161,2018-02-12,2018-02-18,0,0,0,0
162,2018-02-19,2018-02-25,0,0,0,0
163,2018-02-26,2018-03-04,0,0,0,1
164,2018-03-05,2018-03-11,0,0,0,1
165,2018-03-12,2018-03-18,0,1,0,0
166,2018-03-19,2018-03-25,0,1,0,0
167,2018-03-26,2018-04-01,0,0,0,0
168,2018-04-02,2018-04-08,0,0,0,0
169,2018-04-09,2018-04-15,0,0,0,0
170,2018-04-16,2018-04-22,0,0,0,0
171,2018-04-23,2018-04-29,0,0,0,0
172,2018-04-30,2018-05-06,0,0,0,0
173,2018-05-07,2018-05-13,0,0,0,0
